愛飲	あいいん	"애음, 즐겨 마심"	
どきどき		"두근두근, 울렁울렁"	
所々	ところどころ	여기저기	
ともかく		"하여간, 어쨌든, 여하튼"	
何しろ	なにしろ	"어쨌든, 여하튼"	
何分	なにぶん	"아무쪼록, 부디"	
何とか	なんとか	"어떻게든, 간신히, 그럭저럭"	
何となく	なんとなく	"왠지, 어쩐지"	
何とも	なんとも	"정말, 뭐라고도"	
何の	なんの	"무슨, 어떤, 아무"	
残らず	のこらず	"남김 없이, 전부, 모두"	
のろのろ		"느릿느릿, 꾸물꾸물"	
はきはき		"시원시원, 또랑또랑"	
果たして	はたして	"과연, 역시, 대체"	
ばっさり		"싹둑, 싹"	
ばったり		"딱 마주침, 뚝 끊김"	
ぴったり		"꼭 맞음, 딱 맞음"	
一通り	ひととおり	"대강, 얼추, 대충"	
ひとまず		"우선, 일단"	
ひとりでに		"저절로, 자연히"	
広々	ひろびろ	널찍한 모양	
ぶつぶつ		"중얼중얼, 투덜투덜"	
ふと		"문득, 갑자기"	
ぶよぶよ		포동포동	
ふわふわ		"푹신푹신, 두둥실"	
ぷんぷん		"물씬, 뾰로통"	
ふんわり(と)		"폭신하게, 사뿐히"	
ぼうっと		"흐릿함, 희미함, 멍함"	
ほかほか		따끈따끈	
ぼつぼつ		"슬슬, 조금씩"	
ぼろぼろ		부슬부슬	
誠に	まことに	"참으로, 정말로"	
まごまご		우물쭈물	
まさか		"설마, 정말이지"	
まさに		"바로, 틀림없이, 정말로"	
むしろ		"차라리, 오히려"	
万一・万が一	まんいち・まんがいち	"만일, 만약"	
めちゃくちゃ		"아주, 엄청"	
めっきり		"뚜렷이, 현저히, 부쩍"	
めったに		"거의, 좀처럼"	
もしかしたら		어쩌면	
もしかして		"만약에, 어쩌면"	
もしも		"만약, 만일의 경우"	
もじもじ		"꾸물꾸물, 머뭇머뭇"	
元々	もともと	"본디부터, 원래"	
もはや		"이미, 벌써, 어느새"	
やがて		"머지않아, 이윽고"	
やたらに		"마구, 몹시, 함부로"	
ゆらゆら		"흔들흔들, 하늘하늘"	
要するに	ようするに	"요컨대, 결국"	
ようやく		"겨우, 간신히, 그제야"	
より一層	よりいっそう	"한층 더, 보다 더"	
喜んで	よろこんで	"기꺼이, 기쁘게"	
わくわく		"울렁울렁, 두근두근"	
アーケード		"아케이드, 상점가"	
アート		"아트, 예술, 미술"	
アイスクリーム		아이스크림	
アイテム		"아이템, 항목, 품목"	
アイボリー		"아이보리, 상아빛"	
アイロン		"아이론, 다리미"	
アウト		"밖, 실격"	
アクセス		"액세스, 접근, 교통편"	
アクセント		"악센트, 억양, 강조"	
アクティブ		"활동적임, 적극적임"	
アップ		"상승, 인상"	
アプローチ		"어프로치, 접근"	
アルファベット		알파벳	
アンテナ		안테나	
アンバランス		불균형함	
イージー		"간편함, 손쉬움"	
イコール		"같음, 등호"	
イベント		"이벤트, 행사"	
イメージ		"이미지, 인상"	
インストール		설치	
インタビュー		"인터뷰, 면접"	
インパクト		"임팩트, 충돌, 충격"	
ウイスキー		위스키	
ウーマン		"여성, 여자"	
ウール		"울, 양털, 모직물"	
ウエートレス		"웨이트리스, 여자 종업원"	
エアメール		항공 우편	
エチケット		"에티켓, 예의범절"	
エプロン		"에이프런, 앞치마"	
エンジニア		"엔지니어, 기술자"	
オーケストラ		"오케스트라, 관현악(단)"	
オリジナル		"원작, 독창적인"	
オルガン		오르간	
オンライン		온라인	
カーブ		"커브, 곡선, 굽음"	
ガイドブック		"가이드 북, 안내서"	
ガム		껌	
カラー		"컬러, 색, 색깔"	
キャプテン		"캡틴, 주장"	
ギャング		"갱, 강도(단)"	
キャンパス		"캠퍼스, 대학"	
キャンプ		"캠프, 야영"	
クイズ		퀴즈	
クラシック		"클래식, 고전"	
グラス		"유리컵, 안경"	
クラブ		클럽	
クリア		"깨끗함, 통과함"	
クリーニング		"세탁, 청소"	
クリスマス		크리스마스	
グループ		"그룹, 집단"	
クレジットカード		신용카드	
ケア		"주의, 조심, 돌봄, 보살핌"	
ゲスト		"게스트, 손님"	
コース		"코스, 진로, 방향"	
コーチ		"코치, 지도자"	
コード		"코드, 부호, 암호, 규정"	
コーラス		"코러스, 합창(단)"	
ゴール		"골, 목표, 목표를 달성함"	
コック		"요리사, 조리사"	
コピー		"카피, 복사, 사본"	
ゴム		고무	
コメント		"코멘트, 논평, 의견"	
コラム		칼럼	
コレクション		"컬렉션, 수집품"	
コンクリート		콘크리트	
コンセント		콘센트	
コントロール		"컨트롤, 통제, 조절"	
コンプレックス		콤플렉스	
サークル		"서클, 동아리, 동호회"	
サービス		서비스	
サイレン		"사이렌, 경적"	
サイン		"사인, 서명"	
シーツ		시트	
ジーンズ		"진, 청바지"	
ジェット		제트기	
シグナル		"시그널, 신호"	
システム		"시스템, 제도, 체계"	
ジャーナリスト		언론인	
シャッター		셔터	
ショップ		"상점, 가게"	
シリーズ		시리즈	
シンプル		"심플, 검소함, 단순함"	
スカーフ		스카프	
スタイル		"스타일, 모습, 모양, 양식"	
スタッフ		"스태프, 담당자, 제작진"	
スタミナ		"체력, 끈기"	
スタンド		"스탠드, 관람석, 판매대"	
スタンプ		"스탬프, 우편물의 소인"	
スチュワーデス		여자 승무원	
ステージ		"스테이지, 무대"	
ステーション		"정거장, 역"	
ステップ		"스텝, 걸음, 단계"	
ストッキング		스타킹	
ストップ		"정지, 멈춤, 정류소"	
ストライキ		파업	
スピーカー		스피커	
スピード		"스피드, 속도, 속력"	
スポーツカー		스포츠카	
スマート		"말쑥함, 단정하고 멋짐"	
スライド		"슬라이드, 미끄러짐"	
セット		"세트, 한 벌, 한쌍"	
セメント		시멘트	
センター		"센터, 중앙 기관"	
タイマー		"타이머, 스톱워치"	
タイム		"시각, 시간"	
ダイヤグラム		"운행표, 도표"	
ダイアモンド		다이아몬드	
ダイヤル		다이얼	
ダブル		"더블, 이중, 2배"	
ダム		댐	
ダメージ		"피해, 손해"	
タワー		"타워, 탑"	
チャージ		"충전, 요금"	
チョーク		"초크, 분필"	
チラシ		광고용 전단지	
データ		"데이터, 자료"	
テーマ		"테마, 주제"	
デモ		"데모, 시위"	
テント		"텐트, 천막"	
トップ		"톱, 정상, 선두, 1위"	
トラック		"트럭, 화물차"	
ドラマ		드라마	
トランプ		"트럼프, 카드"	
トレーニング		"트레이닝, 훈련, 연습"	
ドレス		드레스	
トン		"톤 (무게 단위), 1,000kg"	
トンネル		"터널, 굴"	
ナイロン		나일론	
ナンバー		번호	
ニーズ		"필요, 수요, 요구"	
ノルマ		"노르마, 할당량"	
バイオリン		바이올린	
パイプ		"파이프, 관"	
パイロット		"파일럿, 비행 조종사"	
バケツ		"양동이, 들통"	
パスポート		"패스포트, 여권"	
パターン		"패턴, 유형"	
パブリック		"공공적임, 대중적임"	
ハンサム		"핸섬, 미남임"	
パンツ		"팬츠, 바지"	
ハンドバッグ		핸드백	
ハンドル		"핸들, 손잡이"	
ピーク		"피크, 정상, 정점"	
ピストル		권총	
ビタミン		비타민	
ヒット		"히트, 큰 성공, (야구) 안타"	
ビニール		비닐	
ビルディング・ビル		빌딩	
ピン		핀	
フライパン		프라이팬	
プライベート		"개인적임, 사적임"	
ブラウス		블라우스	
ブラシ		"브러시, 솔"	
プラスチック		플라스틱	
フリー		"프리, 자유로움, 무료"	
ブレーキ		"브레이크, 제동(기)"	
フレッシュ		"신선함, 참신함"	
プロ		"프로, 전문적"	
フロア		"플로어, 층, 마룻바닥"	
ブローチ		브로치	
プログラム		"프로그램, 예정표"	
プロジェクト		"프로젝트, 계획"	
フロント		"프런트, 접수대"	
ペース		"페이스, 속도, 보조"	
ベスト		"베스트, 최선, 최고"	
ベテラン		"베테랑, 노련한 사람"	
ヘリコプター		"헬리콥터, 헬기"	
ベルト		"벨트, 혁대, 띠"	
ペンキ		페인트	
ベンチ		"벤치, 긴 의자"	
ペンチ		펜치	
ボーナス		"보너스, 상여금"	
マーケット		"마켓, 시장, 판로"	
マイク		마이크	
マイナス		"마이너스, 손해"	
マスク		"마스크, 가면, 탈"	
マスター		"마스터, 숙달함"	
マフラー		"머플러, 목도리"	
マラソン		마라톤	
マンション		"맨션, 중・고층 아파트"	
ミーティング		"미팅, 모임"	
ミシン		재봉틀	
ミス		"미스, 실패, 실수"	
メンバー		"멤버, 구성원"	
モーター		"모터, 전동기"	
モダン		"모던, 현대적임"	
モデル		"모델, 원형, 견본"	
モノレール		모노레일	
ヨーロッパ		유럽	
ヨット		요트	
ライター		라이터	
ライバル		"라이벌, 경쟁 상대"	
ライブ		"라이브, 생방송, 실황"	
ライフスタイル		생활 방식	
ライン		"라인, 선, 줄"	
ラウンジ		"라운지, 휴게실"	
ラウンド		"라운드, 둥긂, 일주, 순환"	
ラケット		라켓	
ランニング		"달리기, 러닝셔츠"	
リアル		"현실적임, 사실적임"	
リズム		리듬	
リットル		리터 (부피 단위)	
リボン		리본	
ルーズ		"느슨함, 야무지지 않음"	
レインコート		"레인코트, 우비"	
レクリエーション		"오락, 휴양"	
レンズ		렌즈	
ロケット		로켓	
ロッカー		"로커, 사물함, 보관함"	
ロビー		"로비, 휴게실"	
ワイン		"와인, 포도주"	
相次いで	あいついで	"이어서, 연달아"	
続々	ぞくぞく	속속	
相棒	あいぼう	"짝, 한패"	
パートナー		"파트너, 상대"	
明るい	あかるい	"밝다, 정통하다"	
詳しい	くわしい	"자세하다, 정통하다"	
あきらめ		"포기, 단념"	
絶望	ぜつぼう	절망	
空く	あく	"비다, 짬이 나다"	
済む	すむ	끝나다	
あくる日	あくるひ	"다음날, 익일"	
翌日	よくじつ	"다음날, 익일"	
当て	あて	"목표, 기대, 가망"	
見込み	みこみ	"전망, 예상, 목표"	
過ち	あやまち	"잘못, 실수"	
過失	かしつ	과실	
歩み	あゆみ	"걸음, 발걸음"	
歩行	ほこう	보행	
歩む	あゆむ	걷다	
歩く	あるく	걷다	
予め	あらかじめ	미리	
事前に	じぜんに	사전에	
争い	あらそい	"다툼, 논쟁"	
論争	ろんそう	논쟁	
言い訳	いいわけ	"변명, 핑계"	
弁解	べんかい	변명	
安易な	あんいな	"손쉬운, 안이한, 적당한"	
いわば		이른바	
たとえてみれば		예를 들면	
うまく		잘	
順調に	じゅんちょうに	순조롭게	
往々にして	おうおうにして	"왕왕, 이따금"	
時々	ときどき	"때때로, 가끔"	
大幅に	おおはばに	대폭적으로	
格段に	かくだんに	현격히	
ほぼ		"대략, 거의"	
押し出す	おしだす	"내세우다, 부각하다"	
一段と強く打ち出す	いちだんとつよくうちだす	한층 강하게 내세우다	
思い切って	おもいきって	과감히	
断然	だんぜん	단호히	
思わず	おもわず	무심코	
無意識に	むいしきに	무의식적으로	
掛かり	かかり	"비용, 경비"	
出費	しゅっぴ	지출	
賢い	かしこい	"현명하다, 영리하다"	
頭がいい	あたまがいい	머리가 좋다	
かつては		"일찍이, 예전에는"	
以前は	いぜんは	이전에는	
ギフト		선물	
贈り物	おくりもの	선물	
均衡	きんこう	균형	
バランス		"밸런스, 균형"	
個々	ここ	"개개, 각각, 각기"	
おのおの		"각각, 각기"	
それぞれ		"각각, 각기"	
心強い	こころづよい	마음 든든하다	
気丈夫だ	きじょうぶだ	마음이 든든하다	
こつ		요령	
要領	ようりょう	요령	
細かい	こまかい	"잘다, 세세하다"	
コンテナ		"컨테이너, 화물용 상자"	
入れ物	いれもの	용기	
差異	さい	차이	
違い	ちがい	"다름, 차이"	
ビジネス		"비즈니스, 사업"	
仕組み	しくみ	구조	
構造	こうぞう	구조	
支持	しじ	지지	
サポート		"서포트, 지지"	
視線	しせん	시선	
まなざし		"눈길, 시선, 눈빛"	
シナリオ		"시나리오, 각본"	
脚本	きゃくほん	각본	
ずいぶん		"꽤, 상당히"	
かなり		"꽤, 상당히"	
スケッチ		"스케치, 사생"	
写生	しゃせい	사생	
すべて		"모두, 전부"	
例え	たとえ	"비유, 예"	
比喩	ひゆ	비유	
たやすい		"쉽다, 용이하다"	
やさしい		쉽다	
結局	けっきょく	결국	
手を打つ	てをうつ	"타결하다, 매듭 짓다"	
どうせ		어차피	
トラブル		"트러블, 분쟁"	
もめごと		"분규, 분쟁"	
故障	こしょう	고장	
悩ます	なやます	괴롭히다	
苦しめる	くるしめる	괴롭히다	
にわかに		"즉각, 당장"	
すぐに		바로	
映える	はえる	"빛나다, 돋보이다"	
引き立つ	ひきたつ	"돋보이다, 두드러지다"	
パレード		"퍼레이드, 행진"	
行列	ぎょうれつ	행렬	
判明	はんめい	판명	
非常に	ひじょうに	"상당히, 매우"	
何の気なしに	なんのきなしに	아무 생각 없이	
へとへと		녹초가 됨	
くたくた		"나른함, 흐물흐물해짐"	
ポイント		"포인트, 요점"	
まもなく		"머지않아, 곧"	
もうすぐ		곧	
目録	もくろく	목록	
カタログ		"카탈로그, 목록"	
病	やまい	"병, 나쁜 버릇"	
つまり		"즉, 요컨대, 결국"	
ランキング		"랭킹, 순위"	
順位	じゅんい	순위	
ランプ		"램프, 전등"	
電灯	でんとう	전등	
レース		"레이스, 경주"	
競走	きょうそう	경주	
レッスン		"레슨, 수업, 연습"	
稽古	けいこ	"배움, 익힘, 연습"	
わずかに		"간신히, 겨우"	
かろうじて		"간신히, 겨우"	
やっと		"간신히, 겨우"	
