垢	あか	"때, 물때"	
誤植	ごしょく	오식	
ミスプリント		미스 프린트	
こずえ		"나뭇가지 끝, 우듬지"	
枝の先	えだのさき	가지 끝	
誇張	こちょう	과장	
ことごとく		"전부, 모두, 모조리"	
こぞって		빠짐없이	
ことのほか		"대단히, 특별히, 유달리"	
拒む	こばむ	"거부하다, 응하지 않다"	
細やかに	こまやかに	자세히	
詳細に	しょうさいに	자세히	
コミッション		"커미션, 수수료"	
手数料	てすうりょう	수수료	
コメディー		코미디	
喜劇	きげき	희극	
暦	こよみ	달력	
カレンダー		달력	
コンディション		컨디션	
体調	たいちょう	"몸의 상태, 컨디션"	
コンテスト		"콘테스트, 경연 대회"	
競演会	きょうえんかい	경연 대회	
コンクール		"콩쿨, 경연 대회"	
コントラスト		"콘트라스트, 대조"	
遮る	さえぎる	"가리다, 막다, 차단하다"	
栄える	さかえる	"성해지다, 번영하다"	
繫盛する	はんじょうする	번창하다	
さしあたって		"지금, 당장, 당분간"	
さしあたり		당분간	
指図	さしず	"지시, 지휘"	
指揮	しき	지휘	
さぞ		"틀림없이, 필시, 아마"	
さぞや		틀림없이	
さぞかし		틀림없이	
定かな	さだかな	확실한	
錯覚	さっかく	착각	
ざっくばらんに		"솔직히, 탁 까놓고"	
さっと		"(비 · 바람이) 쏴, 획, 활짝"	
すばやく		재빠르게	
サポート		"서포트, 지지함, 원조함"	
バックアップ		백업(후원)	
援助	えんじょ	원조	
障る	さわる	"지장이 있다, 방해가 되다"	
さしつかえる		지장이 있다	
参上いたす	さんじょういたす	찾아뵙다	
シークレット		"시크릿, 기밀 비밀밀"	
仕返し	しかえし	"보복, 복수"	
報復	ほうふく	보복	
リベンジ		복수	
仕掛ける	しかける	① (싸움 등을) 걸다 ② 장치하다	
いどむ		(싸움을) 걸다	
セットする		설치하다	
しかるに		"그런데, 그럼에도 불구하고"	
ところが		그런데	
にもかかわらず		그럼에도 불구하고	
しきたり		"관례, 선례"	
ならわし		관례	
先例	せんれい	선례	
仕切る	しきる	"칸막이하다, 구획하다, 결산하다"	
決算する	けっさんする	결산을 하다	
仕草	しぐさ	"하는 짓, 태도, 몸짓"	
身ぶり	みぶり	몸짓	
しくじる		"실패하다, 실수하다"	
仕組む	しくむ	(몰래) 계획하다	
企む	たくらむ	계획하다	
したたか		"세게, 호되게"	
しぶとく		세게	
しなやかに		유연하게	
仕向ける	しむける	① 대우하다 ② 발송하다	
待遇する	たいぐうする	대우하다	
釈明	しゃくめい	"해명, 변명"	
弁明	べんめい	변명	
弁解	べんかい	변명	
わずか		조금	
いくらか		얼마간	
終生	しゅうせい	"종생, 일생 동안"	
これまで		지금까지	
種々	しゅじゅ	"갖가지, 여러 가지"	
もろもろ		여러 가지	
主将	しゅしょう	주장	
キャプテン		캡틴	
統率者	とうそつしゃ	통솔자	
巡回	じゅんかい	"순회, 순찰"	
パトロール		"패트롤, 순찰"	
照会	しょうかい	조회	
条理	じょうり	"조리, 도리"	
すじみち		"사리, 조리"	
触発される	しょくはつされる	자극받다	
所詮	しょせん	어차피	
どうせ		어차피	
所存	しょぞん	생각	
しょっちゅう		"늘, 언제나, 부단히"	
序論	じょろん	서론	
前置き	まえおき	서론	
退く	しりぞく	"(장소 · 지위에서) 물러나다, 물러서다, 후퇴하다"	
後退する	こうたいする	후퇴하다	
仕分ける	しわける	분류하다	
分類		분류	
真摯な	しんしな	진지한	
真剣な	しんけんな	진지한	
迅速に	じんそくに	신속하게	
速やかに	すみやかに	신속하게	
進捗する	しんちょくする	진척되다	
はかどる		진척되다	
衰退する	すいたいする	쇠퇴하다	
スケール		"규모, 도량"	
度量	どりょう	도량	
すこぶる		"매우, 대단히"	
はなはだ		매우	
健やかな	すこやかな	"건강한, 튼튼한"	
達者な	たっしゃな	건강한	
健全な	けんぜんな	건전한	
筋合い	すじあい	조리	
手続き	てつづき	절차	
素性	すじょう	"가문, 태생"	
生まれ	うまれ	태생	
スチーム		"스팀, 증기"	
蒸気	じょうき	증기	
ステップアップ		스텝 업	
進歩	しんぽ	진보	
向上	こうじょう	향상	
ストーリー		"스토리, 이야기"	
ストック		재고	
在庫	ざいこ	재고	
ストレートに		솔직하게	
すばしこい		"민첩하다, 잽싸다"	
素早い	すばやい	재빠르다	
スプリング		"스프링, 용수철"	
ぜんまい		"태엽, 용수철"	
すべ		"방법, 수단, 도리"	
スラックス		"슬랙스, 바지"	
ズボン		바지	
せかす・せかせる		"재촉하다, 서두르게 하다"	
急がせる	いそがせる	재촉하다	
セキュリティー		"시큐리티, 안전, 보안, 방범"	
保安	ほあん	보안	
防犯	ぼうはん	방범	
セクション		"섹션, 분할"	
部門	ぶもん	부문	
せっかち		성급함	
性急な	せいきゅうな	성급한	
接近	せっきん	접근	
アプローチ		접근	
折衝	せっしょう	절충(외교적 담판)	
話し合い	はなしあい	"의논, 교섭"	
絶頂	ぜっちょう	절정	
ピーク		절정	
セレモニー		"세레모니, 의식"	
儀式	ぎしき	의식	
せわしい		"바쁘다, 다망하다"	
多忙な	たぼうな	다망한	
慌ただしい	あわただしい	분주하다	
繊細な	せんさいな	섬세한	
デリケート		섬세함	
センス		"센스, 감각"	
先だって	せんだって	"앞서, 얼마전에, 요전에"	
このあいだ		요전에	
先方	せんぽう	"상대방, 상대편, 저쪽"	
旋律	せんりつ	선율	
メロディー		멜로디	
装飾	そうしょく	장식	
デコレーション		장식	
素描	そびょう	"소묘, 데생"	
デッサン		데생	
即日	そくじつ	"바로 그 날, 당일"	
当日	とうじつ	당일	
素振り	そぶり	"거동, 기색"	
大概	たいがい	"대개, 대강, 대체로"	
対抗	たいこう	대항	
立ち向かう	たちむかう	대항하다	
ターゲット		"타깃, 표적"	
的	まと	표적	
ダウンする		"떨어지다, 고장나서 작동하지 않다"	
蛇足	だそく	"사족, 군더더기, 쓸데없는 것"	
よけいなもの		쓸데없는 것	
立ち寄る	たちよる	"다가서다, 들르다"	
近寄る	ちかよる	다가가다	
訪れる	おとずれる	방문하다	
建前	たてまえ	"원칙, 방침"	
原則	げんそく	원칙	
だぶだぶ		(옷이) 헐렁헐렁	
ダメージ		"데미지, 손해, 타격"	
打撃	だげき	타격	
損害	そんがい	손해	
便り	たより	"소식, 편지"	
断じて	だんじて	"① 반드시, 꼭 ② 절대로"	
じっくりと		곰곰이	
段落	だんらく	단락	
胆力	たんりょく	담력	
度胸	どきょう	담력	
チャンピオン		"챔피언, 제1인자"	
第一人者	だいいちにんしゃ	제1인자	
治癒	ちゆ	"치유, 회복"	
注意深い	ちゅういぶかい	"매우 조심스럽다, 신중하다"	
中途半場	ちゅうとはんば	"흐지부지함, 어중간함"	
未完成	みかんせい	미완성	
中腹	ちゅうふく	산 중턱	
山腹	さんぷく	산의 중턱	
重宝する	ちょうほうする	쓸모가 있어 편리하다	
調和	ちょうわ	조화	
ハーモニー		조화	
賃貸	ちんたい	임대	
レンタル		렌탈	
ついては		"따라서, 그래서"	
したがって		따라서	
ついて(い)る		재수가 있다	
運がいい	うんがいい	운이 좋다	
月並み	つきなみ	"평범함, 진부함"	
償い	つぐない	"속죄, 보상"	
補償	ほしょう	보상	
繕う	つくろう	"고치다, 수선하다"	
修繕する	しゅうぜんする	수선하다	
告げる	つげる	"고하다, 알리다"	
知らせる	しらせる	알리다	
つつましい		조심스럽다	
控えめな	ひかえめな	조심스러운	
集い	つどい	"모임, 회합"	
会合	かいごう	회합	
集う	つどう	"모이다, 회합하다, 집회하다"	
募る	つのる	모집하다	
つぶさに		"자세히, 구체적으로"	
手薄	てうす	"허술함, 적음, 불충분함"	
不十分	ふじゅうぶん	불충분	
手頃な	てごろな	"알맞은, 적당한"	
適切な	てきせつな	적절한	
てっぺん		"꼭대기, 정상"	
手はず	てはず	"준비, 계획"	
手引き	てびき	"(손을 잡고) 인도함, 안내함, 첫걸음(책), 연줄"	
マニュアル		매뉴얼	
手分け	てわけ	분담	
てんで		"① 전혀, 아예, 도무지 ② 대단히, 매우"	
まるっきり		전혀	
まったく		전혀	
と		"얼핏, 언뜻, 잠깐"	
ふと		얼핏	
闘志	とうし	투지	
ファイト		투지	
意気込み	いきごみ	"패기, 의욕"	
当面ない	とうめんない	당분간 없다	
道理だ	どうりだ	"당연하다, 그럴 법하다"	
当たり前だ	あたりまえだ	당연하다	
独裁的	どくさいてき	독재적	
ワンマン		"원맨, 독재적인 사람"	
督促	とくそく	"독촉, 재촉"	
催促	さいそく	재촉	
土壇場	どたんば	"막판, 마지막 순간, 막다른 곳"	
窮地	きゅうち	궁지	
とっさに		순식간에	
瞬間的に	しゅんかんてきに	순간적으로	
どっさり		"듬뿍, 많이, 잔뜩"	
突如	とつじょ	"갑자기, 별안간"	
にわかに		"돌연, 갑자기"	
唱える	となえる	"주창하다, 주장하다"	
主唱する	しゅしょうする	주창하다	
主張する	しゅちょうする	주장하다	
途方もない	とほうもない	터무니없다	
戸惑う	とまどう	"망설이다, 당황하다"	
捉える	とらえる	"포착하다, 파악하다"	
取り去る	とりさる	"없애다, 제거하다"	
取り除く	とりのぞく	제거하다	
取りも直さず	とりもなおさず	"곧, 결국"	
すなわち		곧	
結局	けっきょく	결국	
頓着せずに	とんちゃくせずに	신경쓰지 말고	
おかまいなく		개의치 말고	
貪欲	どんよく	탐욕	
欲深	よくふか	"욕심이 많음, 과욕"	
なじむ		"익숙해지다, 친숙해지다"	
名だたる	なだたる	"유명한, 이름난"	
名高い	なだかい	유명한	
懐く	なつく	"따르다, 친해지다"	
馴れる	なれる	"따르다, 친숙해지다"	
なにかと		"이것저것, 여러가지로"	
何卒	なにとぞ	"제발, 부디, 아무쪼록"	
どうか		"부디, 아무쪼록"	
生温い	なまぬるい	"미적지근하다, 미온적이다"	
てぬるい		미온적이다	
波に乗る	なみにのる	시류에 편승하다	
時流に便乗する	じりゅうにびんじょうする	시류에 편승하다	
並びに	ならびに	"및, 또"	
および		"및, 또"	
かつ		"및, 또"	
軟弱な	なんじゃくな	연약한	
弱腰	よわごし	연약함	
賑わう	にぎわう	"활기차다, 번창하다"	
ネガ		"네거티브, 소극적, 부정적"	
否定的な	ひていてきな	부정적인	
ネック		"넥, 애로, 지장"	
支障	ししょう	지장	
粘り	ねばり	"찰기, 끈기"	
根気	こんき	끈기	
乗り越える	のりこえる	"뛰어넘다, 극복하다"	
順調に進む	じゅんちょうにすすむ	순조롭게 진행되다	
はかばかしい		"진척되다, 병이 호전되다"	
バック		"백, 배경, 후퇴, 후원자"	
後援者	こうえんしゃ	후원자	
抜群		발군	
ばてる		"지치다, 기진하다"	
バトル		"배틀, 싸움"	
たいそう		"대단히, 매우"	
張り合う	はりあう	경쟁하다	
競い合う	きそいあう	경쟁하다	
バロメーター		지표	
指標	しひょう	지표	
パワー		"파워, 힘, 능력"	
判じる・判ずる	はんじる・はんずる	판단하다	
見分ける	みわける	판별하다	
判明する	はんめいする	"판명되다, 밝혀지다"	
ひしと		"강렬하게, 매섭게"	
批評	ひひょう	비평	
コメント		코멘트	
百姓	ひゃくしょう	농민	
農民	のうみん	농민	
比喩	ひゆ	비유	
日和	ひより	"일기, (좋은) 날씨"	
晴天	せいてん	좋은 날씨	
びら		전단지	
ちらし		전단지	
翻す	ひるがえす	"뒤집다, 바꾸다"	
裏返す	うらがえす	뒤집다	
不意に	ふいに	"돌연히, 갑자기, 느닷없이"	
フォロー		"팔로우, 보조"	
補助	ほじょ	보조	
不器用な	ぶきような	"서투른, 손재주가 없는"	
無精・不精	ぶしょう	귀찮아 함	
面倒くさがり	めんどうくさがり	귀찮아 함	
付随・附随	ふずい	"부수, 연관"	
連関	れんかん	연관	
不用意	ふようい	부주의함	
ぶつかる		"부딪히다, 맞닥뜨리다, 마주치다"	
突き当たる	つきあたる	부딪히다	
巻き込まれる	まきこまれる	말려들다	
復帰	ふっき	복귀	
カムバック		복귀	
ふに落ちない	ふにおちない	납득이 가지 않다	
納得	なっとく	납득할 수 없다	
ふにゃふにゃ		부드러워 팽팽한 맛이 없는 모양	
フランク		솔직함	
ブランク		"블랭크, 여백, 공백"	
空白	くうはく	공백	
振り出し	ふりだし	"출발점, 처음 상태"	
出発点	しゅっぱつてん	출발점	
振る舞い	ふるまい	행동	
行動	こうどう	행동	
無礼	ぶれい	"무례, 실례"	
不遜	ふそん	무례	
プロセス		"프로세스, 절차, 경과, 과정"	
手続	てつづき	절차	
プロフィール		프로필	
横顔	よこがお	프로필	
略歴	りゃくれき	약력	
ふんだんに		"많이, 넉넉히"	
大量に	たいりょうに	대량으로	
並行	へいこう	병행	
両立	りょうりつ	양립	
同時進行	どうじしんこう	동시진행	
平生	へいぜい	평소	
平常	へいじょう	"보통, 평소"	
平素	へいそ	"보통, 평소"	
ふだん		"보통, 평소"	
へきえき		"손듦, 질림"	
閉口	へいこう	질림	
へま		실수	
ポーズ		"포즈, 자세"	
姿勢	しせい	자세	
保留する	ほりゅうする	보류하다	
見合わせる	みあわせる	보류하다	
本腰	ほんごし	"진지함, 본격적으로 임함"	
本気	ほんき	진지함	
前向き	まえむき	"적극적, 진취적"	
前もって	まえもって	"미리, 사전에"	
事前に	じぜんに	사전에	
まさしく		틀림없이	
まちまち		"갖가지, 각기 다름"	
マッチ		"매치, 어울림, 일치"	
一致	いっち	일치	
まなざし		"눈길, 시선"	
間々	まま	"가끔, 때때로"	
まばらだ		드문드문하다	
満遍なく	まんべんなく	"구석구석, 빠짐없이, 골고루"	
もれなく		빠짐없이	
あまねく		골고루	
見上げる	みあげる	감탄하다	
感心する	かんしんする	"감탄하다, 감동하다"	
ムード		"무드, 분위기, 기분"	
無性に	むしょうに	"몹시, 공연히, 무턱대고"	
むやみに		함부로	
やたらに		함부로	
無条件	むじょうけん	무조건	
文句なし	もんくなし	"완전히, 무조건"	
無造作に	むぞうさに	"손쉽게, 아무렇게나"	
無謀な	むぼうな	무모한	
無鉄砲	むてっぽう	무모함	
無論	むろん	물론	
目当て	めあて	"목적, 목표"	
めど		목표	
明瞭な	めいりょうな	명료한	
メンテナンス		"(건물 · 기계 등의) 관리, 유지"	
設ける	もうける	"마련하다, 베풀다, 설치하다"	
申し分	もうしぶん	"변명, 해명"	
毛頭	もうとう	"털 끝만큼도, 조금도, 전혀"	
目下	もっか	현재	
現在	げんざい	현재	
専ら	もっぱら	"오로지, 한결같이"	
ひたすら		한결같이	
弄ぶ	もてあそぶ	"가지고 놀다, 만지작거리다"	
もてる		인기가 있다	
物好き	ものずき	"유별난 것을 좋아함, 호기심"	
好奇心	こうきしん	호기심	
盛り上げる	もりあげる	분위기를 고조시키다	
活気づける	かっきづける	활기를 북돋우다	
もろに		"직접, 정면으로"	
まともに		직접적으로	
やきもち		"질투, 시기"	
ねたみ		"시기, 질투"	
嫉妬	しっと	질투	
やきもちをやく		질투하다	
ねたむ		"시기하다, 질투하다"	
やんちゃな		떼를 쓰는	
誘因	ゆういん	어떤 상태를 야기하는 원인	
優に	ゆうに	"족히, 충분히"	
ゆさぶる		(뒤)흔들다	
ゆるがす		(뒤)흔들다	
ユニーク		"유니크, 특이, 독특"	
独特な	どくとくな	독특한	
用心深い	ようじんぶかい	"신중하다, 조심성이 많다"	
用心棒	ようじんぼう	"경호원, 보디가드"	
ボディーガード		보디가드	
余地	よち	여지	
弱腰	よわごし	"소극적임, 저자세"	
弱虫	よわむし	겁쟁이	
いくじなし		겁쟁이	
弱る	よわる	"약해지다, 곤란해지다"	
ライバル		라이벌	
敵	てき	적	
がっかりする		실망하다	
立腹する	りっぷくする	역정내다	
リハーサル		"리허설, 예행연습"	
予行練習	よこうれんしゅう	예행연습	
リベート		"리베이트, 수수료"	
流暢な	りゅうちょうな	유창한	
了解	りょうかい	양해	
オーケー		오케이	
了承	りょうしょう	양해	
歴然としている	れきぜんとしている	분명하다	
はっきりしている		확실하다	
劣等感	れっとうかん	열등감	
朗報	ろうほう	낭보	
コンプレックス		콤플렉스	
知らせ	しらせ	소식	
浪漫的	ろうまんてき	낭만적	
和解	わかい	화해	
仲直り	なかなおり	화해	
煩わしい	わずらわしい	"귀찮다, 성가시다"	
あごを出す	あごをだす	몹시 지치다	
足が出る	あしがでる	"적자가 나다, 예산을 초과하다"	
肩を持つ	かたをもつ	편을 들다	
肩を並べる	かたをならべる	"어깨를 나란히 하다, 필적하다"	
気が済む	きがすむ	마음이 후련하다	
気に障る	きにさわる	비위에 거슬리다	
気を晴らす	きをはらす	우울한 기분을 풀다	
気をもむ	きをもむ	"마음을 졸이다, 애태우다"	
ぐっと来る	ぐっとくる	강한 감동을 느끼다	
さじを投げる	なじをなげる	가망이 없어 포기하다	
しのぎを削る	しのぎをけずる	맹렬히 싸우다	
そっぽを向く	そっぽをむく	"외면하다, 불응하다"	
手が出ない	てがでない	"어떻게 손을 쓸 수가 없다, 엄두가 안 난다"	
手を焼く	てをやく	"애먹다, 처치 곤란해하다"	
途方に暮れる	とほうにくれる	어찌할 바를 모르다	
長い目で見る	ながいめでみる	긴 안목으로 보다	
念のため	ねんのため	"만약을 위해, 혹시 몰라서"	
はっとする		깜짝 놀라다	
鼻にかける	はなにかける	"뽐내다, 자랑하다"	
腹が立つ	はらがたつ	화가 나다	
腹を決める	はらをきめる	"결심하다, 마음을 정하다"	
ほどがある		"한도가 있다, 유분수다"	
骨が折れる	ほねがおれる	"힘들다, 고생이 되다"	
目に見える	めにみえる	눈에 띄다	
目安をつける	めやすをつける	"대중을 잡다, 어림잡다"	
目を通す	めをとおす	"대강 훑어보다, 대충 보다"	
平行線をたどる	へいこうせんをたどる	평행선을 걷다	
まぎれもない		틀림없다	
もってのほか		당치도 않음	
焼け石に水	やけいしにみず	"언 발에 오줌 누기, 임시방편"	
躍起になる	やっきになる	기를 쓰다	
指を折る	ゆびをおる	손꼽아 헤아리다	
よしとする		"좋다고 치다, 잘된 것으로 인정하다"	
